new ID,Trabantetal ID,file name,date,time,magnitude,GPS lat,GPS lon,adit end lat,adit end lon,depth
14,0,660213-0458-WRA-sum.sac,1966-02-13,04:58:00,6.276,49.8142,78.1308,0,0,0.297
15,3,660320-0550-WRA-sum.sac,1966-03-20,05:50:00,6.073,49.7517,78.0083,49.7615,78.0226,0.294
16,0,660421-0358-WRA-sum.sac,1966-04-21,03:58:00,5.402,49.8178,78.0939,0,0,0.178
18,148,660629-0658-WRA-sum.sac,1966-06-29,06:58:01,5.532,49.8392,78.0708,49.835,78.0726,0.187
19,10,660721-0358-WRA-sum.sac,1966-07-21,03:58:00,5.395,49.7356,78.1047,49.7376,78.0972,0.17
20,6,660805-0358-WRA-sum.sac,1966-08-05,03:58:00,5.425,49.7589,78.0486,49.7637,78.042,0.171
23,4,661019-0358-WRA-sum.sac,1966-10-19,03:58:00,5.712,49.7419,78.0256,49.7468,78.0208,0.185
27,8,670325-0558-WRA-sum.sac,1967-03-25,05:58:01,5.354,49.7533,78.0536,49.7533,78.0624,0.152
28,11,670420-0408-WRA-sum.sac,1967-04-20,04:08:00,5.58,49.7361,78.1072,49.7437,78.105,0.225
29,3,670528-0408-WRA-sum.sac,1967-05-28,04:08:00,5.501,49.7517,78.0083,49.7615,78.0226,0.262
30,118,670629-0257-WRA-sum.sac,1967-06-29,02:57:00,5.339,49.8222,78.0433,49.8174,78.0476,0.195
31,101,670715-0327-WRA-sum.sac,1967-07-15,03:27:00,5.399,49.8442,78.1156,49.8366,78.1177,0.161
32,7,670804-0658-WRA-sum.sac,1967-08-04,06:58:00,5.337,49.7544,78.0503,49.7609,78.0562,0.16
33,137,671017-0504-WRA-sum.sac,1967-10-17,05:04:00,5.667,49.7844,77.9978,49.7805,78.0031,0.181
34,96,671030-0604-WRA-sum.sac,1967-10-30,06:04:00,5.444,49.7972,77.9994,49.7942,78.0052,0.173
35,102,671208-0604-WRA-sum.sac,1967-12-08,06:04:00,5.33,49.8183,78.1708,49.8177,78.1637,0.15
36,0,680107-0347-WRA-sum.sac,1968-01-07,03:47:00,5.005,49.7539,78.0469,0,0,0.237
38,110,680611-0306-WRA-sum.sac,1968-06-11,03:06:00,5.262,49.7986,78.15,49.7934,78.1447,0.149
41,104,680905-0406-WRA-sum.sac,1968-09-05,04:06:00,5.472,49.7381,78.0808,49.7423,78.0756,0.162
42,0,680929-0343-WRA-sum.sac,1968-09-29,03:43:00,5.887,49.8042,78.1056,0,0,0.29
45,103,681218-0502-WRA-sum.sac,1968-12-18,05:02:00,5.066,49.7408,78.0878,49.7467,78.0916,0.194
46,0,690307-0827-WRA-sum.sac,1969-03-07,08:27:00,5.694,49.8283,78.0597,0,0,0.214
47,124,690516-0403-WRA-sum.sac,1969-05-16,04:03:00,5.279,49.7678,78.0817,49.7598,78.0754,0.184
49,0,690723-0247-WRA-sum.sac,1969-07-23,02:47:00,5.529,49.8197,78.1372,0,0,0.175
51,112,691001-0403-WRA-sum.sac,1969-10-01,04:03:00,5.275,49.7864,78.1081,49.7829,78.097,0.144
52,126,700129-0703-WRA-sum.sac,1970-01-29,07:03:00,5.624,49.7922,78.1131,49.7957,78.123,0.214
53,115,700327-0503-WRA-sum.sac,1970-03-27,05:03:00,4.96,49.7444,78.0033,49.7479,77.9978,0.138
54,120,700628-0158-WRA-sum.sac,1970-06-28,01:58:00,5.891,49.7822,78.0533,49.7774,78.0493,0.332
55,26,700724-0357-WRA-sum.sac,1970-07-24,03:57:00,5.353,49.8136,78.1322,49.8099,78.1286,0.154
56,78,701217-0701-WRA-sum.sac,1970-12-17,07:01:00,5.447,49.7519,78.1017,49.7462,78.099,0.193
58,121,710425-0333-WRA-sum.sac,1971-04-25,03:33:00,6.084,49.7803,78.0367,49.7686,78.0331,0.296
63,76,720328-0422-WRA-sum.sac,1972-03-28,04:22:00,5.199,49.7342,78.0825,49.734,78.0747,0.124
68,0,730710-0127-WRA-sum.sac,1973-07-10,01:27:00,5.353,49.7911,78.0128,0,0,0
69,89,731026-0427-WRA-sum.sac,1973-10-26,04:27:00,5.266,49.7522,78.1325,49.7469,78.132,0
70,65,740516-0303-WRA-sum.sac,1974-05-16,03:03:00,5.276,49.7397,78.0358,49.7459,78.0374,0
72,80,740710-0257-WRA-sum.sac,1974-07-10,02:57:00,5.201,49.7772,78.1125,49.7791,78.1027,0
78,18,751213-0457-WRA-sum.sac,1975-12-13,04:57:00,5.026,49.8133,78.1086,49.8074,78.1091,0
79,24,760115-0447-WRA-sum.sac,1976-01-15,04:47:00,5.227,49.81,78.1714,49.812,78.1576,0
87,64,770730-0157-WRA-sum.sac,1977-07-30,01:57:00,5.162,49.7506,78.0492,49.75,78.0399,0
88,21,770817-0427-WRA-sum.sac,1977-08-17,04:27:00,5.03,49.8308,78.1139,49.8278,78.1184,0
90,117,780326-0357-WRA-sum.sac,1978-03-26,03:57:00,5.727,49.7619,77.9825,49.7643,77.9993,0
91,88,780422-0307-WRA-sum.sac,1978-04-22,03:07:00,5.369,49.7517,78.1317,49.7469,78.1251,0
93,0,780728-0247-WRA-sum.sac,1978-07-28,02:47:00,5.766,49.755,78.145,0,0,0
96,79,781031-0417-WRA-sum.sac,1978-10-31,04:17:00,5.281,49.7886,78.1075,49.7875,78.0974,0
99,117,790506-0317-WRA-sum.sac,1979-05-06,03:17:00,5.255,49.7619,77.9825,49.7643,77.9993,0
100,35,790531-0555-WRA-sum.sac,1979-05-31,05:55:00,5.297,49.8342,78.0803,49.8267,78.0757,0
102,30,791018-0417-WRA-sum.sac,1979-10-18,04:17:00,5.268,49.8242,78.0975,49.82,78.1003,0
106,63,800522-0357-WRA-sum.sac,1980-05-22,03:57:00,5.567,49.7797,78.0364,49.7739,78.0287,0
107,133,800731-0333-WRA-sum.sac,1980-07-31,03:33:00,5.369,49.7906,78.0908,49.7955,78.0907,0
109,74,810630-0157-WRA-sum.sac,1981-06-30,01:57:15,5.202,49.7675,78.0808,49.7669,78.0744,0
110,17,810717-0237-WRA-sum.sac,1981-07-17,02:37:18,5.121,49.8014,78.1314,49.8064,78.1352,0
124,75,840415-0317-WRA-sum.sac,1984-04-15,03:17:11,5.732,49.7606,78.0892,49.7499,78.0825,0
129,55,870506-0402-WRA-sum.sac,1987-05-06,04:02:08,5.602,49.7758,78.0122,49.7742,77.9986,0
131,57,870717-0117-WRA-sum.sac,1987-07-17,01:17:09,5.945,49.7758,78.0197,49.7664,78.0287,0
